id,name,party,sector,country
uvdl,Ursula von der Leyen,CDU,Politik,Deutschland
lk,Lars Klingbeil,SPD,Politik,Deutschland
nr,Norbert Röttgen,CDU,Politik,Deutschland
sw,Sahra Wagenknecht,DieLinke,Politik,Deutschland
cs,Constanze Stelzenmüller,Juristin,Jura,Amerika
cl,Christian Lindner,FDP,Politik,Deutschland
cm,Claudia Major,SWP,Politik,Deutschland
ks,Karl Schlögel,Historiker,Historie,Deutschland
lm,Ljudmyla Melnyk,Wissenschaftlerin,Wissenschaft,Ukraine
kd,Kristina Dunz,Redakteurin,Journalismus,Deutschland
el,Egils Levits,Präsident,Politik,Lettland
ab,Annalena Baerbock,Bündnis90,Politik,Deutschland
ft,Frans Timmermans,Vizepräsident,Politik,Europa
am,Andrij Melnyk,Botschafter,Politik,Deutschland
agl,Alexander Graf Lambsdorff,FDP,Politik,Deutschland
er,Egon Ramms,General,Wehrmacht,Deutschland
rh,Robert Habeck,Bündnis90,Politik,Deutschland
kp,Katja Petrowskaja,Schriftstellerin,Literatur,Ukraine
rk,Roderich Kiesewetter,CDU,Politik,Deutschland